Name,Opponent,Surface,ImpliedWinPercentage
Bernarda Pera,Evgeniya Rodina,Clay,65
Evgeniya Rodina,Bernarda Pera,Clay,35
Irina-Camelia Begu,Alexandra Eala,Hard,58
Alexandra Eala,Irina-Camelia Begu,Hard,42
Elise Mertens,Alycia Parks,Grass,63
Alycia Parks,Elise Mertens,Grass,37
Viktorija Golubic,Hailey Baptiste,Hard,55
Hailey Baptiste,Viktorija Golubic,Hard,45
Linda Fruhvirtova,Katherine Sebov,Hard,67
Katherine Sebov,Linda Fruhvirtova,Hard,33
Anna Kalinskaya,Victoria Jimenez Kasintseva,Clay,70
Victoria Jimenez Kasintseva,Anna Kalinskaya,Clay,30
Lauren Davis,Anna-Karolina Schmiedlova,Hard,60
Anna-Karolina Schmiedlova,Lauren Davis,Hard,40
Jasmine Paolini,Mirjam Bjorklund,Grass,56
Mirjam Bjorklund,Jasmine Paolini,Grass,44
Marta Kostyuk,Elisabetta Cocciaretto,Clay,72
Elisabetta Cocciaretto,Marta Kostyuk,Clay,28
Camila Giorgi,Kaia Kanepi,Hard,66
Kaia Kanepi,Camila Giorgi,Hard,34
Katerina Siniakova,Claire Liu,Clay,61
Claire Liu,Katerina Siniakova,Clay,39
Yulia Putintseva,Rebecca Marino,Grass,57
Rebecca Marino,Yulia Putintseva,Grass,43
Tereza Martincova,Tamara Korpatsch,Hard,65
Tamara Korpatsch,Tereza Martincova,Hard,35
Laura Siegemund,Mayar Sherif,Grass,54
Mayar Sherif,Laura Siegemund,Grass,46
Xiyu Wang,Brenda Fruhvirtova,Hard,68
Brenda Fruhvirtova,Xiyu Wang,Hard,32
Nao Hibino,Danka Kovinic,Clay,59
Danka Kovinic,Nao Hibino,Clay,41
